0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
856.52765,393.49658,868.53705,379.4402,856.89606,381.78516,899.83295,393.15942,876.3488,399.30273,915.66156,450.65552,890.3128,461.8435,895.8697,338.2163,895.6136,346.27112,892.3648,236.6889,893.54755,254.068,908.18036,671.06494,886.7786,669.6987,908.87933,845.08826,903.3597,843.5668,929.7817,1003.79114,932.6149,987.9884
856.2156,387.76733,866.1304,374.3015,855.0128,376.7406,896.72534,382.71545,871.37585,390.17615,913.7738,438.65363,887.8992,451.43756,889.58777,326.7433,883.2821,330.07483,882.6438,225.58203,887.0752,253.0199,910.16614,661.2405,885.8882,660.4523,912.0215,839.8002,901.11,837.485,926.7656,999.45557,929.6362,983.99866
854.6767,381.0434,865.7646,366.81476,855.9775,368.21405,893.618,378.6634,881.71454,381.91962,911.23737,431.1983,894.2574,445.37067,877.09235,319.26276,882.17096,334.63202,870.31586,221.94794,885.65765,281.09308,913.3378,657.43536,889.5953,656.2276,913.4039,834.3339,904.212,831.30975,923.7537,997.6689,925.14703,978.2469
854.04944,385.59576,864.2589,369.8864,855.4574,371.80353,890.42175,379.44403,876.5654,382.87036,910.1808,430.00983,885.7213,443.2276,865.97144,321.36127,862.4375,322.86383,857.11975,226.42914,855.8375,231.92859,919.3258,652.66754,894.1819,652.2436,915.3999,832.4976,905.2051,830.96747,919.7168,996.40375,923.1836,985.9925
852.66077,392.68005,862.4426,378.34955,853.48474,379.59662,890.7477,383.53204,880.6293,385.27405,909.9221,430.297,889.8812,441.9737,842.32983,332.2069,840.98486,333.1325,835.95544,233.51349,828.75305,240.40814,927.3657,653.6351,905.96814,654.8803,915.1118,832.67145,918.21704,831.6849,919.10876,995.3393,928.86316,984.0289
849.01117,387.3,858.6414,374.99652,852.83295,376.33478,887.53766,383.09735,878.45917,383.9004,910.7414,434.90887,893.24884,442.36346,814.6434,370.00604,815.9141,369.44098,800.94147,270.28082,800.3841,277.09204,935.73346,657.34906,912.3116,658.1174,915.80426,832.38837,914.6351,832.96136,919.0214,999.67914,925.658,986.7341
846.8288,396.65024,854.34625,383.98068,849.4588,385.02798,886.61383,393.26926,889.12616,393.44168,914.357,442.65475,894.139,447.5403,794.6414,433.7864,801.8714,426.3997,757.66437,347.50583,762.0987,347.22562,943.3033,662.5349,920.1514,664.7219,912.86237,827.40466,917.70123,830.7062,920.00226,991.4789,923.11127,985.8633
840.72363,412.28223,849.91077,397.526,843.16895,398.56232,886.1028,404.41858,884.48804,405.1588,915.1338,455.51892,896.9656,464.33685,795.6797,499.51013,799.1736,500.77844,717.7295,448.87793,736.4136,441.95587,951.35144,665.9136,925.6023,668.60693,913.9092,832.0597,911.1227,833.7915,924.7301,991.82983,921.95056,980.53064
832.21027,426.35638,840.21783,412.0393,835.0909,412.56384,875.7275,420.75183,881.71576,421.62518,906.2276,475.8,910.20746,476.831,828.66534,560.187,853.2974,572.626,721.24164,589.2313,741.9217,578.3247,954.5876,675.93396,947.957,676.30383,911.7453,840.32996,917.2664,841.82434,927.5102,1003.4586,925.1208,992.4352
818.09216,449.8667,826.76355,435.70044,820.5437,436.31335,862.1145,443.74054,867.2052,443.47644,893.36865,499.73096,908.2621,492.86816,862.7883,609.4155,912.895,602.4049,813.9065,701.8755,872.27295,635.4529,951.76904,689.83594,978.5471,686.7755,900.76025,848.697,928.75964,850.55566,932.36255,1009.24475,928.25366,996.34814
802.9365,478.23535,811.8756,464.3813,805.9407,464.3838,847.13086,472.74835,852.3839,471.63422,885.9651,535.6004,883.1222,527.75323,906.1918,664.68317,909.2604,654.9909,944.084,771.5643,917.99097,743.51935,959.6592,710.07074,970.7551,705.623,893.7467,864.52155,911.635,863.3575,936.60535,1017.5069,933.27734,1002.7945
787.9332,511.567,796.34644,497.8936,791.7235,498.16898,829.5604,508.9578,834.36414,507.80917,881.83923,575.27356,859.6592,568.0719,969.8213,665.87085,969.67615,652.4282,1039.0996,729.83105,1028.2178,723.59595,964.7063,736.1321,947.91064,733.7639,885.8777,876.49133,900.8644,876.5867,938.1941,1022.4866,934.8208,1011.8638
778.05664,550.84705,786.6493,536.8203,782.0271,536.85693,820.2467,549.1382,826.96277,548.16895,878.9855,610.4801,867.2759,597.2991,992.5519,644.90784,989.60864,622.06604,1093.9487,656.9031,1081.2874,641.7478,974.10767,758.6212,959.18005,755.91455,875.47485,882.60645,884.5145,878.2549,937.01196,1024.4567,934.79224,1008.1737
777.0883,586.9228,784.3591,573.7428,779.06793,573.5629,817.54095,583.29553,825.6684,579.52246,874.89655,631.74146,876.6757,613.34937,994.00507,621.53986,984.97565,601.8138,1088.5604,590.0388,1082.7439,581.45776,977.68805,780.4404,986.69244,772.798,870.4826,890.9402,872.5933,879.0719,938.5474,1027.2607,932.31,1011.09143
780.79504,615.77234,786.15906,601.6609,781.526,602.1289,820.22217,609.5388,830.5333,605.4155,875.1239,647.7925,877.9481,630.4586,984.26025,600.2186,979.031,582.19055,1072.7693,545.7494,1061.4526,535.90027,988.98376,797.1837,978.5831,789.6625,866.5383,888.07886,869.07214,876.51294,938.7085,1029.2606,932.65295,1006.5819
